date,px_3m,px_cash,curve_cash_minus_3m,curve_z120,trend_signal,hook_signal,ret_1d,position_trend,position_hook,log_mom_20d,log_mom_60d,log_mom_120d
2022-03-10,10172,-22.0,-10194.0,-1.9271185398924278,0.0,1.0,0.0101290963257199,0.0,1.0,-0.0008843905651854646,0.06887350329562408,0.09490719377069169
2022-03-11,10166,-32.75,-10198.75,-1.8989580922426357,0.0,1.0,-0.0005898545025559976,0.0,1.0,0.01646372603066503,0.06723084308431837,0.09215757039986539
2022-03-14,9925,-40.5,-9965.5,-1.1063863077882188,0.0,1.0,-0.02370647255557745,0.0,1.0,0.008601115509091971,0.05541153335308252,0.06203619696511761
2022-03-15,9865,-46.75,-9911.75,-0.9129249389416316,0.0,0.0,-0.006045340050377823,0.0,0.0,-0.009583932121928205,0.0365441159743302,0.06328909081649073
2022-03-16,10121,2.0,-10119.0,-1.574471657029065,1.0,0.0,0.02595032944754183,1.0,0.0,0.011027879879635022,0.051288094166021155,0.0936713692532288
2022-03-17,10171,-11.5,-10182.5,-1.7630043756064802,0.0,1.0,0.004940223298093072,0.0,1.0,0.027005776502914816,0.05965419518252882,0.11998534096895747
2022-03-18,10240,-4.0,-10244.0,-1.9344513101800715,0.0,1.0,0.006783993707599967,0.0,1.0,0.02621965683543456,0.06808647435325664,0.11791732201614315
2022-03-21,10191,-10.45,-10201.45,-1.7565179999096752,0.0,1.0,-0.004785156249999978,0.0,1.0,0.027960629504659832,0.06328983258845142,0.09472159826879276
2022-03-22,10355,-8.5,-10363.5,-2.2463203605850026,0.0,1.0,0.016092630752624792,0.0,1.0,0.039796446214522434,0.0792543495894424,0.13029458665816002
2022-03-23,10317,4.5,-10312.5,-2.042659618811714,0.0,1.0,-0.003669724770642202,0.0,1.0,0.03471406645348084,0.07557787486013362,0.12749858744247955
2022-03-24,10435,-22.5,-10457.5,-2.452618710702212,0.0,1.0,0.011437433362411653,0.0,1.0,0.04910166452538399,0.08695039527105902,0.12846518669228793
2022-03-25,10310,-18.0,-10328.0,-1.9889848050551624,0.0,1.0,-0.011978917105893605,0.0,1.0,0.04442531022693414,0.06284580651136602,0.11000540653661973
2022-03-28,10230,0.0,-10230.0,-1.6376163832704407,0.0,1.0,-0.007759456838021372,0.0,1.0,0.028254667657599493,0.055056088446032395,0.07656229366699613
2022-03-29,10356,-2.0,-10358.0,-1.9963519035953914,0.0,1.0,0.012316715542521894,0.0,1.0,0.040194535948132895,0.07268283607925696,0.08659010262847565
2022-03-30,10392,-7.0,-10399.0,-2.069418135471108,0.0,1.0,0.0034762456546928444,0.0,1.0,0.01668969459274005,0.0628463432089743,0.08344855230498854
2022-03-31,10335,-7.49,-10342.49,-1.8490494319976594,0.0,1.0,-0.005484988452655881,0.0,1.0,-0.008190843191489224,0.07794846607042169,0.04908048206956952
2022-04-01,10260,-10.5,-10270.5,-1.603141816945832,0.0,1.0,-0.007256894049346929,0.0,1.0,-0.01739174271186922,0.06721917390681295,0.008122567532828912
2022-04-04,10324,-17.25,-10341.25,-1.7875694178144403,0.0,1.0,0.006237816764132598,0.0,1.0,-0.03763987378628853,0.06844644417412413,0.004757521474069215
2022-04-05,10450,-22.0,-10472.0,-2.132011435632725,0.0,1.0,0.012204571871367698,0.0,1.0,0.019324272826402842,0.08151108984435479,0.017374954470353157
2022-04-06,10373,-18.25,-10391.25,-1.8466382151861875,0.0,1.0,-0.00736842105263158,0.0,1.0,0.02964556971922014,0.043645798392609826,0.037021263476985034
2022-04-07,10301,3.0,-10298.0,-1.5417882012832191,0.0,1.0,-0.006941097078954961,0.0,1.0,0.012602130341683197,0.033162024236798295,0.03617710189777623
2022-04-08,10380,-18.75,-10398.75,-1.7940171290816256,0.0,1.0,0.00766915833414239,0.0,1.0,0.02083205871303183,0.04886242111516229,0.05038102429235245
2022-04-11,10254,-18.75,-10272.75,-1.4053683271612096,0.0,1.0,-0.012138728323699444,0.0,1.0,0.03261104678825479,0.059674225137082204,0.04467343013246737
