date,eq_trend,eq_hook,eq_combo
2022-11-29,1.2070108423692345,1.2764935200537488,1.2609548172149896
2022-11-30,1.2180279723297236,1.2764935200537488,1.2667095721052992
2022-12-01,1.2269054144350005,1.2764935200537488,1.2713256979850096
2022-12-02,1.2268229158933182,1.2764935200537488,1.2712829552785005
2022-12-05,1.2268229158933182,1.2706188027048548,1.2683575867139922
2022-12-06,1.2268229158933182,1.2732763783699195,1.2696840098118858
2022-12-07,1.2268229158933182,1.2779221206894944,1.2720003273204312
2022-12-08,1.2268229158933182,1.280231390366022,1.2731496116691634
2022-12-09,1.2268229158933182,1.2798933649830688,1.2729815338949892
2022-12-12,1.2268229158933182,1.2712714533594394,1.2686938586151428
2022-12-13,1.2268229158933182,1.2757309174223366,1.2709190697037587
2022-12-14,1.2268229158933182,1.2798185587681676,1.272955181420414
2022-12-15,1.2268229158933182,1.2673790002387697,1.26676875742457
2022-12-16,1.2268229158933182,1.2671546311195208,1.2666566268817956
2022-12-19,1.2268229158933182,1.2670708162880837,1.2666147359361037
2022-12-20,1.2268229158933182,1.2688304780482347,1.2674942501222957
2022-12-21,1.2268229158933182,1.2687429317141896,1.2674505230535733
2022-12-22,1.2268229158933182,1.2627360719615297,1.2644501526297824
2022-12-23,1.2268229158933182,1.2686275400583769,1.2673998853172712
2022-12-26,1.2268229158933182,1.2685393959113742,1.26735585589245
2022-12-27,1.2268229158933182,1.2685393959113742,1.26735585589245
2022-12-28,1.2268229158933182,1.2685393959113742,1.26735585589245
2022-12-29,1.2268229158933182,1.2685393959113742,1.26735585589245
2022-12-30,1.2268229158933182,1.2685393959113742,1.26735585589245
2023-01-02,1.2268229158933182,1.2685393959113742,1.26735585589245
2023-01-03,1.2268229158933182,1.2685393959113742,1.26735585589245
2023-01-04,1.2268229158933182,1.2685393959113742,1.26735585589245
2023-01-05,1.2355996569398604,1.2685393959113742,1.271889213566523
2023-01-06,1.2355114841255272,1.2685393959113742,1.271843832341767
2023-01-09,1.2355114841255272,1.2685393959113742,1.271843832341767
2023-01-10,1.2355114841255272,1.2737578678133303,1.2744598651288226
2023-01-11,1.2355114841255272,1.2834227696740053,1.2792949793342345
2023-01-12,1.2355114841255272,1.2870346576600302,1.2810951149854095
2023-01-13,1.2355114841255272,1.2891204679276678,1.2821332072111133
2023-01-16,1.2355114841255272,1.2891201393891836,1.2821330438322396
2023-01-17,1.2355114841255272,1.290142143809356,1.282641276384819
2023-01-18,1.2355114841255272,1.2914370580423673,1.2832849691951842
2023-01-19,1.2355114841255272,1.291042129648413,1.2830887514745009
2023-01-20,1.2355114841255272,1.2931161135706344,1.2841193551164076
2023-01-23,1.2355114841255272,1.2943178614489377,1.284716048520157
2023-01-24,1.2355114841255272,1.2933888327102487,1.2842549801204697
2023-01-25,1.2355114841255272,1.2929719183136705,1.2840479950373498
2023-01-26,1.2355114841255272,1.2952244932631936,1.2851665090230897
2023-01-27,1.2355114841255272,1.2901052645707352,1.2826267712008832
2023-01-30,1.2355114841255272,1.2872502968112927,1.2812075621720778
2023-01-31,1.2355114841255272,1.2904412722263576,1.2827955601871546
2023-02-01,1.2355114841255272,1.2737921709342885,1.2745203315199385
2023-02-02,1.2355114841255272,1.2715135672024993,1.2733803783745552
2023-02-03,1.2355114841255272,1.2664053997638076,1.2708225447998052
2023-02-06,1.2355114841255272,1.2635034045169555,1.2693664861848903
2023-02-07,1.2355114841255272,1.2633727031582291,1.269300832256348
2023-02-08,1.2355114841255272,1.2633727031582291,1.269300832256348
2023-02-09,1.2355114841255272,1.2633727031582291,1.269300832256348
2023-02-10,1.2355114841255272,1.2633727031582291,1.269300832256348
2023-02-13,1.2355114841255272,1.2633727031582291,1.269300832256348
2023-02-14,1.2355114841255272,1.2633727031582291,1.269300832256348
2023-02-15,1.2355114841255272,1.2633727031582291,1.269300832256348
2023-02-16,1.2355114841255272,1.2633727031582291,1.269300832256348
2023-02-17,1.2355114841255272,1.2633727031582291,1.269300832256348
2023-02-20,1.2355114841255272,1.2633727031582291,1.269300832256348
2023-02-21,1.2355114841255272,1.2633727031582291,1.269300832256348
2023-02-22,1.2355114841255272,1.2633727031582291,1.269300832256348
2023-02-23,1.2355114841255272,1.2633727031582291,1.269300832256348
2023-02-24,1.2355114841255272,1.2633727031582291,1.269300832256348
2023-02-27,1.2439532879302295,1.2633727031582291,1.2736371693656048
2023-02-28,1.2559219501001606,1.2633727031582291,1.2797643017728706
2023-03-01,1.2658936035677202,1.2633727031582291,1.2848447791609816
2023-03-02,1.2657726449237023,1.2633727031582291,1.2847833944277691
2023-03-03,1.2646439285193343,1.2633727031582291,1.284210560080635
2023-03-06,1.2645262717575991,1.2633727031582291,1.2841508215042352
2023-03-07,1.2479213032824565,1.2633727031582291,1.2757194886072254
2023-03-08,1.2552505673025096,1.2633727031582291,1.2794657524633417
2023-03-09,1.2567449883237205,1.2633727031582291,1.2802273774990944
2023-03-10,1.255851547796201,1.2633727031582291,1.2797723102284368
2023-03-13,1.259333976740728,1.2633727031582291,1.281546690386412
2023-03-14,1.252095861214275,1.2633727031582291,1.277863798012791
2023-03-15,1.228569431038908,1.2633727031582291,1.2658584978002252
2023-03-16,1.231295704493531,1.2633727031582291,1.267263007929109
2023-03-17,1.2349560680795264,1.2633727031582291,1.2691466510504055
2023-03-20,1.2432067350146558,1.2633727031582291,1.273386197128322
2023-03-21,1.2490995398808715,1.2633727031582291,1.276404124946627
2023-03-22,1.2557066074154,1.2633727031582291,1.279779872029072
2023-03-23,1.2661808019470735,1.2633727031582291,1.2851173701588872
2023-03-24,1.2602579164444474,1.2633727031582291,1.2821116370798584
2023-03-27,1.2612565751990372,1.2633727031582291,1.2826196251646877
2023-03-28,1.2622547727776685,1.2633727031582291,1.2831271776442228
2023-03-29,1.2623210395745486,1.2633727031582291,1.283160858930238
2023-03-30,1.2637943313488404,1.2633727031582291,1.2839096661984715
2023-03-31,1.2641319982620736,1.2633727031582291,1.2840811869131563
2023-04-03,1.2576985511110814,1.2633727031582291,1.2808137004224471
2023-04-04,1.2468487135896529,1.2633727031582291,1.2752890774782104
2023-04-05,1.248429865608941,1.2633727031582291,1.276097686364779
2023-04-06,1.2440106767699135,1.2633727031582291,1.2738391227047607
2023-04-07,1.2440105833817219,1.2633727031582291,1.2738390748910506
2023-04-10,1.249181500614499,1.2633727031582291,1.2764865268147447
2023-04-11,1.2430753962826153,1.2633727031582291,1.2733667400154922
2023-04-12,1.235436792275757,1.2633727031582291,1.2694543690074385
2023-04-13,1.2302481463529642,1.2633727031582291,1.2667886117315084
2023-04-14,1.2323834614595153,1.2633727031582291,1.267887980532614
2023-04-17,1.236819587922553,1.2633727031582291,1.2701699453587028
2023-04-18,1.2330405838535612,1.2633727031582291,1.2682294936393521
2023-04-19,1.2351146445323178,1.2633727031582291,1.2692961190849543
2023-04-20,1.2416462074306271,1.2633727031582291,1.2726522801810456
2023-04-21,1.2481210754908274,1.2633727031582291,1.2759705585889252
2023-04-24,1.251123181924087,1.2633727031582291,1.2775051049954438
2023-04-25,1.2654543016233148,1.2633727031582291,1.2848217620762872
2023-04-26,1.2661816406604423,1.2633727031582291,1.2851909974655502
2023-04-27,1.2627970606288306,1.2633727031582291,1.2834733008700758
2023-04-28,1.261457939348807,1.2633727031582291,1.2827927772677
2023-05-01,1.255068039389943,1.2633727031582291,1.2795437916063446
2023-05-02,1.2651766640411897,1.2633727031582291,1.2846966707763332
2023-05-03,1.2677687922202447,1.2633727031582291,1.2860127314248202
2023-05-04,1.2649219978208568,1.2633727031582291,1.284568850701526
2023-05-05,1.2618434800047893,1.2633727031582291,1.2830056839214152
2023-05-08,1.2545998127975186,1.2633727031582291,1.2793231090432189
2023-05-09,1.2585921320777447,1.2633727031582291,1.2813586052475758
2023-05-10,1.2674739865892863,1.2633727031582291,1.2858798637311057
