date,regime,vol_regime,trend_regime,vol_percentile,TrendMedium_weight,TrendImpulse_weight,MomentumCore_weight,Cash_weight
2014-04-15,medium_vol_transitional,MEDIUM,TRANSITIONAL,0.43253968253968256,0.29,0.22,0.49,0.0
2014-04-16,medium_vol_transitional,MEDIUM,TRANSITIONAL,0.44047619047619047,0.29,0.22,0.49,0.0
2014-04-17,medium_vol_transitional,MEDIUM,TRANSITIONAL,0.45634920634920634,0.29,0.22,0.49,0.0
2014-04-18,medium_vol_transitional,MEDIUM,TRANSITIONAL,0.44841269841269843,0.29,0.22,0.49,0.0
2014-04-21,medium_vol_transitional,MEDIUM,TRANSITIONAL,0.44047619047619047,0.29,0.22,0.49,0.0
2014-04-22,medium_vol_transitional,MEDIUM,TRANSITIONAL,0.4365079365079365,0.29,0.22,0.49,0.0
2014-04-23,medium_vol_transitional,MEDIUM,TRANSITIONAL,0.4365079365079365,0.29,0.22,0.49,0.0
2014-04-24,medium_vol_transitional,MEDIUM,TRANSITIONAL,0.4801587301587302,0.29,0.22,0.49,0.0
2014-04-25,medium_vol_transitional,MEDIUM,TRANSITIONAL,0.48412698412698413,0.29,0.22,0.49,0.0
2014-04-28,medium_vol_transitional,MEDIUM,TRANSITIONAL,0.4880952380952381,0.29,0.22,0.49,0.0
2014-04-29,medium_vol_transitional,MEDIUM,TRANSITIONAL,0.49206349206349204,0.29,0.22,0.49,0.0
2014-04-30,medium_vol_transitional,MEDIUM,TRANSITIONAL,0.5198412698412699,0.29,0.22,0.49,0.0
2014-05-01,medium_vol_transitional,MEDIUM,TRANSITIONAL,0.5198412698412699,0.29,0.22,0.49,0.0
2014-05-02,medium_vol_transitional,MEDIUM,TRANSITIONAL,0.5357142857142857,0.29,0.22,0.49,0.0
2014-05-05,medium_vol_transitional,MEDIUM,TRANSITIONAL,0.5396825396825397,0.29,0.22,0.49,0.0
2014-05-06,medium_vol_transitional,MEDIUM,TRANSITIONAL,0.5198412698412699,0.29,0.22,0.49,0.0
2014-05-07,medium_vol_transitional,MEDIUM,TRANSITIONAL,0.5317460317460317,0.29,0.22,0.49,0.0
2014-05-08,medium_vol_transitional,MEDIUM,TRANSITIONAL,0.5436507936507936,0.29,0.22,0.49,0.0
2014-05-09,medium_vol_transitional,MEDIUM,TRANSITIONAL,0.5555555555555556,0.29,0.22,0.49,0.0
2014-05-12,medium_vol_transitional,MEDIUM,TRANSITIONAL,0.5595238095238095,0.29,0.22,0.49,0.0
2014-05-13,medium_vol_transitional,MEDIUM,TRANSITIONAL,0.5595238095238095,0.29,0.22,0.49,0.0
2014-05-14,medium_vol_transitional,MEDIUM,TRANSITIONAL,0.5714285714285714,0.29,0.22,0.49,0.0
2014-05-15,medium_vol_transitional,MEDIUM,TRANSITIONAL,0.5753968253968254,0.29,0.22,0.49,0.0
2014-05-16,medium_vol_transitional,MEDIUM,TRANSITIONAL,0.5753968253968254,0.29,0.22,0.49,0.0
2014-05-19,medium_vol_transitional,MEDIUM,TRANSITIONAL,0.5833333333333334,0.29,0.22,0.49,0.0
