date,signal_weekly,signal_biweekly,position_weekly,position_biweekly,return_weekly,return_biweekly
2000-12-15,0.0,1.0,-0.8544280976758132,0.8544280976758132,0.0008946005566336815,-0.0008947776583941445
2000-12-18,0.0,0.5,0.0,0.8869217145976123,-0.00012816421465137196,-0.013950184020488145
2000-12-19,0.0,0.5,0.0,0.3852629693458071,0.0,0.00033504189039095715
2000-12-20,0.0,0.0,0.0,0.3913708053726935,-0.0,-0.004580787302105761
2000-12-21,0.0,0.0,0.0,0.0,-0.0,-5.870562080590401e-05
2000-12-22,-1.0,0.0,0.0,0.0,0.0,0.0
2000-12-25,-1.0,-1.0,-0.7383008713001423,0.0,-0.00011074513069502134,0.0
2000-12-26,-1.0,-1.0,-0.7707183049108033,-0.7707183049108033,-4.862615041599144e-06,-0.00011560774573662048
2000-12-27,-1.0,0.0,-0.8341603426325725,-0.8341603426325725,0.004501897121235037,0.004501897121235037
2000-12-28,-1.0,0.0,-0.8504684918248967,0.0,-0.0009273711727049474,-0.00012512405139488588
2000-12-29,0.5,0.0,-0.8496857171370564,0.0,0.006461370927044362,-0.0
2001-01-01,0.5,1.0,0.42194032583845037,0.0,-0.000190743906446326,0.0
2001-01-02,0.5,1.0,0.42584059001731117,0.8516811800346223,-0.013169711112959136,-0.026466004323669808
2001-01-03,0.5,1.0,0.3200636326987515,0.640127265397503,-0.005529529801045902,-0.011059059602091805
2001-01-04,0.5,1.0,0.31501654080559827,0.6300330816111965,0.004887430638371855,0.00977486127674371
2001-01-05,0.0,1.0,0.2924288397473538,0.5848576794947076,-0.002651300682582419,-0.005302601365164838
2001-01-08,0.0,0.0,0.0,0.5937362364335474,-4.3864325962103066e-05,0.00949302265400304
2001-01-09,0.0,0.0,0.0,0.0,0.0,-8.906043546503211e-05
2001-01-10,0.0,0.0,0.0,0.0,-0.0,-0.0
2001-01-11,0.0,0.0,0.0,0.0,0.0,0.0
2001-01-12,0.0,0.0,0.0,0.0,0.0,0.0
2001-01-15,0.0,0.0,0.0,0.0,-0.0,-0.0
2001-01-16,0.0,0.0,0.0,0.0,-0.0,-0.0
2001-01-17,0.0,1.0,0.0,0.0,0.0,0.0
2001-01-18,0.0,1.0,0.0,0.5478629053614318,0.0,0.013182519286347599
2001-01-19,0.5,1.0,0.0,0.49632252349986455,-0.0,-0.0005534402639860583
2001-01-22,0.5,0.5,0.24916698494983675,0.4983339698996735,0.0014710656976885535,0.0030165797739020866
2001-01-23,0.5,0.5,0.24757279130034657,0.24757279130034657,-0.0008128412886765575,-0.000850216336419033
2001-01-24,0.5,1.0,0.24729796380235242,0.24729796380235242,-0.002171702816241949,-0.002171702816241949
2001-01-25,0.5,1.0,0.24494952981007612,0.48989905962015223,0.0004743561260059581,0.0009130266178369291
2001-01-26,0.0,1.0,0.2454239360466817,0.4908478720933634,-0.0004747789676021972,-0.0009495579352043944
