dt,z,signal_raw,signal_exec,position_vt
2015-02-23,-2.2430678098551677,-1.0,-1.0,-0.4213668287201995
2015-02-24,-1.9236742068937602,-1.0,-1.0,-0.4213668287201995
2015-02-25,-1.926819371263747,-1.0,-1.0,-0.4223910450377513
2015-02-26,-1.6258608504288963,-1.0,-1.0,-0.4223910450377513
2015-02-27,-1.5945455148455558,-1.0,-1.0,-0.4223910450377513
2015-03-02,-1.5564791302499994,-1.0,-1.0,-0.41903488896514646
2015-03-03,-1.7475749231906423,-1.0,-1.0,-0.41903488896514646
2015-03-04,-1.68730383495254,-1.0,-1.0,-0.4519543358548486
2015-03-05,-1.684142610271557,-1.0,-1.0,-0.4519543358548486
2015-03-06,-1.8860374538925426,-1.0,-1.0,-0.4519543358548486
2015-03-09,-1.5622110537962417,-1.0,-1.0,-0.46928693538339084
2015-03-10,-1.8045017362261804,-1.0,-1.0,-0.46928693538339084
2015-03-11,-1.8703637995655964,-1.0,-1.0,-0.47538068513809617
2015-03-12,-1.580287830379165,-1.0,-1.0,-0.47538068513809617
2015-03-13,-1.5327875769088635,-1.0,-1.0,-0.47538068513809617
2015-03-16,-1.5450835567932257,-1.0,-1.0,-0.5164562479912932
2015-03-17,-1.6761624764046603,-1.0,-1.0,-0.5164562479912932
2015-03-18,-1.9284638765938582,-1.0,-1.0,-0.4945560001763864
2015-03-19,-1.4830053986357556,-1.0,-1.0,-0.4945560001763864
2015-03-20,-1.0383791682885513,-1.0,-1.0,-0.4945560001763864
2015-03-23,-0.866076065543285,-1.0,-1.0,-0.41974143874987746
2015-03-24,-0.8060701454259052,-1.0,-1.0,-0.41974143874987746
2015-03-25,-0.8443877782846041,-1.0,-1.0,-0.4361144554490019
2015-03-26,-0.7322879569140939,-1.0,-1.0,-0.4361144554490019
2015-03-27,-0.9875924533041368,-1.0,-1.0,-0.4361144554490019
2015-03-30,-0.9216189047796958,-1.0,-1.0,-0.4397111691418955
2015-03-31,-1.0052265785590608,-1.0,-1.0,-0.4397111691418955
2015-04-01,-0.9894240598931412,-1.0,-1.0,-0.44226360758518335
2015-04-02,-1.1262824440346009,-1.0,-1.0,-0.44226360758518335
2015-04-03,-1.1182317526202352,-1.0,-1.0,-0.44226360758518335
2015-04-06,-1.110089919249107,-1.0,-1.0,-0.4505576715095036
2015-04-07,-0.9166304762386959,-1.0,-1.0,-0.4505576715095036
2015-04-08,-1.0299956064763414,-1.0,-1.0,-0.4533309176624467
2015-04-09,-1.0553419431031552,-1.0,-1.0,-0.4533309176624467
2015-04-10,-0.9521615356130724,-1.0,-1.0,-0.4533309176624467
2015-04-13,-1.0514682680968725,-1.0,-1.0,-0.45747167661724364
2015-04-14,-1.1416151849278484,-1.0,-1.0,-0.45747167661724364
2015-04-15,-1.1109133173352281,-1.0,-1.0,-0.46653033530767096
2015-04-16,-0.8756320504850882,-1.0,-1.0,-0.46653033530767096
2015-04-17,-0.8697390691855869,-1.0,-1.0,-0.46653033530767096
2015-04-20,-1.0359587631914862,-1.0,-1.0,-0.4855525789143432
2015-04-21,-1.1040187532993615,-1.0,-1.0,-0.4855525789143432
2015-04-22,-1.169427530454462,-1.0,-1.0,-0.49991284956565063
2015-04-23,-1.0973966667857216,-1.0,-1.0,-0.49991284956565063
2015-04-24,-0.8961836169053915,-1.0,-1.0,-0.49991284956565063
2015-04-27,-0.8152785352803349,-1.0,-1.0,-0.5236135196685291
2015-04-28,-0.6974666210856632,-1.0,-1.0,-0.5236135196685291
2015-04-29,-0.6350656728916605,-1.0,-1.0,-0.7119757961436909
2015-04-30,-0.23731539241895241,0.0,-1.0,-0.7119757961436909
2015-05-01,-0.10123747893337035,0.0,-1.0,-0.7119757961436909
2015-05-04,-0.09761428788552776,0.0,-1.0,-0.6076517086540253
2015-05-05,0.066806562200109,0.0,-1.0,-0.6076517086540253
2015-05-06,-0.11117864088180403,0.0,0.0,0.0
2015-05-07,-0.08715170217780678,0.0,0.0,0.0
2015-05-08,-0.1093134205273027,0.0,0.0,0.0
2015-05-11,-0.15163275177452482,0.0,0.0,0.0
2015-05-12,0.005432775059847096,0.0,0.0,0.0
2015-05-13,-0.06202879364951547,0.0,0.0,0.0
2015-05-14,-0.06619052097091375,0.0,0.0,0.0
2015-05-15,-0.033376480592229744,0.0,0.0,0.0
2015-05-18,-0.10168366802166957,0.0,0.0,0.0
2015-05-19,-0.43245493843705446,0.0,0.0,0.0
2015-05-20,-0.42746543821587346,0.0,0.0,0.0
2015-05-21,-0.3550583878491424,0.0,0.0,0.0
2015-05-22,-0.5435345047352971,0.0,0.0,0.0
2015-05-25,-0.5387533337688607,0.0,0.0,0.0
2015-05-26,-0.6527748895141156,-1.0,0.0,0.0
2015-05-27,-0.7041856039236138,-1.0,-1.0,-0.5875421044124856
2015-05-28,-0.6676054684882249,-1.0,-1.0,-0.5875421044124856
2015-05-29,-0.8365106945177551,-1.0,-1.0,-0.5875421044124856
2015-06-01,-0.810987339048723,-1.0,-1.0,-0.5945257424875211
