date,price,ret,pos,pos_for_ret_t,trade,cost,pnl_gross,pnl_net
2004-09-16,2823.0,0.02023852547885796,0.0,0.0,0.0,-0.0,0.0,0.0
2004-09-17,2815.0,-0.002833864682961429,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-09-20,2849.0,0.012078152753108418,0.0,0.0,0.0,-0.0,0.0,0.0
2004-09-21,2899.0,0.017550017550017616,0.0,0.0,0.0,-0.0,0.0,0.0
2004-09-22,2915.0,0.0055191445325974975,0.0,0.0,0.0,-0.0,0.0,0.0
2004-09-23,2932.0,0.005831903945111572,0.0,0.0,0.0,-0.0,0.0,0.0
2004-09-24,2911.0,-0.007162346521146001,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-09-27,2953.0,0.014428031604259761,0.0,0.0,0.0,-0.0,0.0,0.0
2004-09-28,2933.0,-0.00677277345072802,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-09-29,2990.0,0.01943402659393123,0.0,0.0,0.0,-0.0,0.0,0.0
2004-09-30,2997.5,0.0025083612040133207,0.0,0.0,0.0,-0.0,0.0,0.0
2004-10-01,2995.0,-0.0008340283569641116,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-10-04,2983.5,-0.003839732888146874,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-10-05,2979.0,-0.0015082956259426794,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-10-06,3038.0,0.019805303793219098,0.0,0.0,0.0,-0.0,0.0,0.0
2004-10-07,3046.0,0.0026333113890717463,0.0,0.0,0.0,-0.0,0.0,0.0
2004-10-08,3145.0,0.032501641497045375,0.0,0.0,0.0,-0.0,0.0,0.0
2004-10-11,3140.0,-0.0015898251192368873,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-10-12,3094.0,-0.014649681528662417,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-10-13,2815.0,-0.09017453135100195,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-10-14,2746.0,-0.024511545293072867,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-10-15,2830.0,0.030589949016751605,0.0,0.0,0.0,-0.0,0.0,0.0
2004-10-18,2794.0,-0.01272084805653706,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-10-19,2817.5,0.008410880458124659,0.0,0.0,0.0,-0.0,0.0,0.0
2004-10-20,2798.5,-0.006743566992014172,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-10-21,2825.0,0.009469358584956122,0.0,0.0,0.0,-0.0,0.0,0.0
2004-10-22,2804.0,-0.0074336283185840735,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-10-25,2750.0,-0.01925820256776034,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-10-26,2792.0,0.015272727272727327,0.0,0.0,0.0,-0.0,0.0,0.0
2004-10-27,2800.0,0.002865329512893977,0.0,0.0,0.0,-0.0,0.0,0.0
2004-10-28,2752.0,-0.017142857142857126,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-10-29,2882.0,0.04723837209302317,0.0,0.0,0.0,-0.0,0.0,0.0
2004-11-01,2831.0,-0.01769604441360162,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-11-02,2849.0,0.006358177322500991,0.0,0.0,0.0,-0.0,0.0,0.0
2004-11-03,2875.0,0.009126009126009027,0.0,0.0,0.0,-0.0,0.0,0.0
2004-11-04,2915.0,0.013913043478260834,0.0,0.0,0.0,-0.0,0.0,0.0
2004-11-05,2953.0,0.013036020583190311,0.0,0.0,0.0,-0.0,0.0,0.0
2004-11-08,2950.5,-0.0008465966813410164,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-11-09,2978.0,0.009320454160311797,0.0,0.0,0.0,-0.0,0.0,0.0
2004-11-10,2960.0,-0.006044325050369337,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-11-11,2987.5,0.00929054054054057,0.0,0.0,0.0,-0.0,0.0,0.0
2004-11-12,3016.0,0.009539748953974803,0.0,0.0,0.0,-0.0,0.0,0.0
2004-11-15,3004.0,-0.003978779840848823,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-11-16,2944.0,-0.01997336884154466,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-11-17,3023.0,0.02683423913043481,0.0,0.0,0.0,-0.0,0.0,0.0
2004-11-18,3080.0,0.018855441614290536,0.0,0.0,0.0,-0.0,0.0,0.0
2004-11-19,3077.0,-0.0009740259740259605,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-11-22,3044.0,-0.010724731881702976,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-11-23,3069.0,0.008212877792378448,0.0,0.0,0.0,-0.0,0.0,0.0
2004-11-24,3098.0,0.009449332029977109,0.0,0.0,0.0,-0.0,0.0,0.0
2004-11-25,3115.0,0.0054874112330536295,0.0,0.0,0.0,-0.0,0.0,0.0
2004-11-26,3081.0,-0.010914927768860383,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-11-29,3112.0,0.01006166828951649,0.0,0.0,0.0,-0.0,0.0,0.0
2004-11-30,3095.0,-0.005462724935732632,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-12-01,3114.0,0.006138933764135768,0.0,0.0,0.0,-0.0,0.0,0.0
2004-12-02,2990.0,-0.039820166987797,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-12-03,3002.0,0.004013377926421313,0.0,0.0,0.0,-0.0,0.0,0.0
2004-12-06,2990.0,-0.003997335109926725,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-12-07,2955.5,-0.011538461538461497,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-12-08,2865.0,-0.030620876332261848,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-12-09,2875.5,0.003664921465968529,0.0,0.0,0.0,-0.0,0.0,0.0
2004-12-10,2903.0,0.009563554164493171,0.0,0.0,0.0,-0.0,0.0,0.0
2004-12-13,2970.0,0.02307957285566653,0.0,0.0,0.0,-0.0,0.0,0.0
2004-12-14,2972.0,0.0006734006734006037,0.0,0.0,0.0,-0.0,0.0,0.0
2004-12-15,3011.5,0.013290713324360715,0.0,0.0,0.0,-0.0,0.0,0.0
2004-12-16,3024.0,0.0041507554374895506,0.0,0.0,0.0,-0.0,0.0,0.0
2004-12-17,3033.0,0.0029761904761904656,0.0,0.0,0.0,-0.0,0.0,0.0
2004-12-20,3077.0,0.014507088691064984,0.0,0.0,0.0,-0.0,0.0,0.0
2004-12-21,3090.0,0.00422489437764062,0.0,0.0,0.0,-0.0,0.0,0.0
2004-12-22,3070.0,-0.006472491909385147,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-12-23,3061.0,-0.002931596091205191,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-12-24,3094.5,0.010944135903299568,0.0,0.0,0.0,-0.0,0.0,0.0
2004-12-27,3094.5,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2004-12-28,3094.5,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2004-12-29,3125.0,0.009856196477621593,0.0,0.0,0.0,-0.0,0.0,0.0
2004-12-30,3138.0,0.0041599999999999415,0.0,0.0,0.0,-0.0,0.0,0.0
2004-12-31,3150.0,0.003824091778202643,0.0,0.0,0.0,-0.0,0.0,0.0
2005-01-03,3150.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2005-01-04,2912.0,-0.0755555555555556,0.0,0.0,0.0,-0.0,-0.0,-0.0
2005-01-05,2970.0,0.019917582417582347,0.0,0.0,0.0,-0.0,0.0,0.0
2005-01-06,2952.0,-0.0060606060606061,0.0,0.0,0.0,-0.0,-0.0,-0.0
2005-01-07,2978.0,0.008807588075880668,0.0,0.0,0.0,-0.0,0.0,0.0
2005-01-10,2961.0,-0.005708529214237701,0.0,0.0,0.0,-0.0,-0.0,-0.0
2005-01-11,3026.0,0.021952043228639084,0.0,0.0,0.0,-0.0,0.0,0.0
2005-01-12,3030.0,0.0013218770654328527,0.0,0.0,0.0,-0.0,0.0,0.0
2005-01-13,3001.0,-0.009570957095709542,0.0,0.0,0.0,-0.0,-0.0,-0.0
2005-01-14,3010.0,0.0029990003332223125,0.0,0.0,0.0,-0.0,0.0,0.0
2005-01-17,3022.0,0.003986710963455042,0.0,0.0,0.0,-0.0,0.0,0.0
2005-01-18,3010.0,-0.00397088021178027,0.0,0.0,0.0,-0.0,-0.0,-0.0
2005-01-19,3033.0,0.007641196013288942,0.0,0.0,0.0,-0.0,0.0,0.0
2005-01-20,3040.0,0.002307945928123889,0.0,0.0,0.0,-0.0,0.0,0.0
